,Bill,Expense,Result
jan,556,56565,Congratulations! You have successfully paid the bill. Balance is 56009
feb,565656,5655,"Loan of your bill on everyday: -1549.7424657534248, Loan amount of your bill on every month: -47138.0"
mar,656565,5656565,Congratulations! You have successfully paid the bill. Balance is 5000000
apr,565656565,56565655,"Loan of your bill on everyday: -1549744.01369863, Loan amount of your bill on every month: -47138047.083333336"
may,4545444,444,"Loan of your bill on everyday: -12453.271232876712, Loan amount of your bill on every month: -378787.0"
jun,444,4444,Congratulations! You have successfully paid the bill. Balance is 4000
jul,555,56565,Congratulations! You have successfully paid the bill. Balance is 56010
aug,5454,5565,Congratulations! You have successfully paid the bill. Balance is 111
sep,4544,655656,Congratulations! You have successfully paid the bill. Balance is 651112
oct,4544,56565,Congratulations! You have successfully paid the bill. Balance is 52021
nov,4433,5655,Congratulations! You have successfully paid the bill. Balance is 1222
dec,445,55665,Congratulations! You have successfully paid the bill. Balance is 55220
